population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,5750.324091272941,8438.10345583236,3980.90315654303
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,6711.2180901334805,8653.70831949188,5220.06500297468
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,15859.65787383333,21746.759840617648,10752.51399903546
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,15223.67734571798,20008.26156479458,11843.879847509881
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,20509.70061013097,28027.44199442428,14181.68268730891
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,16085.26622943546,20601.74804367122,12190.9350235417
1,All Population,6,Incidence,1,Global,1,Male,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,15253.05278637728,21441.29672579248,10506.77996177659
1,All Population,6,Incidence,1,Global,2,Female,11,30-34 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,9975.5563002837,12781.50053129037,7997.15515590064
1,All Population,6,Incidence,1,Global,1,Male,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,7394.143601761791,10267.186644969339,5014.60463795798
1,All Population,6,Incidence,1,Global,2,Female,12,35-39 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,4534.17239987093,5499.09870117061,3815.4712167211196
1,All Population,6,Incidence,1,Global,1,Male,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,2838.66024602901,4176.624194560391,1867.21955889541
1,All Population,6,Incidence,1,Global,2,Female,13,40-44 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,1648.60661971434,1904.74755268503,1415.44990921372
1,All Population,6,Incidence,1,Global,1,Male,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,239.33503970382,333.83650485136997,181.54539619537
1,All Population,6,Incidence,1,Global,2,Female,39,0-14 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,335.05918214577,413.32723095275,263.99747635265
1,All Population,6,Incidence,1,Global,1,Male,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,735.40422677037,1187.7181432259401,443.48813041212003
1,All Population,6,Incidence,1,Global,2,Female,41,50-74 years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,399.56753594653003,473.48216790418,338.60858314934
1,All Population,6,Incidence,1,Global,1,Male,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,0.00064736607,0.0012516349900000001,0.00030388714999999997
1,All Population,6,Incidence,1,Global,2,Female,234,75+ years,393,Sexually transmitted infections excluding HIV,3,Rate,2013,0.00035490471,0.00051517398,0.00021417372
1,All Population,6,Incidence,1,Global,1,Male,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,5761.95954340434,8437.73307622059,3987.1393312310197
1,All Population,6,Incidence,1,Global,2,Female,8,15-19 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,6727.06628540694,8683.0987628925,5231.25481887774
1,All Population,6,Incidence,1,Global,1,Male,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,15876.65663913154,21747.1524066143,10772.13651717317
1,All Population,6,Incidence,1,Global,2,Female,9,20-24 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,15265.64819108906,20053.44634609568,11864.24570291939
1,All Population,6,Incidence,1,Global,1,Male,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,20512.16642586975,28061.432651213443,14212.312983171068
1,All Population,6,Incidence,1,Global,2,Female,10,25-29 years,393,Sexually transmitted infections excluding HIV,3,Rate,2015,16000.64354925311,20422.17512070347,12134.896037375629
